"continent","location","date","population","new_vaccinations"
"Asia","Afghanistan","10/15/23","41128772",NULL
"Asia","Afghanistan","10/16/20","41128772",NULL
"Asia","Afghanistan","10/16/21","41128772",NULL
"Asia","Afghanistan","10/16/22","41128772",NULL
"Asia","Afghanistan","10/16/23","41128772",NULL
"Asia","Afghanistan","10/17/20","41128772",NULL
"Asia","Afghanistan","10/17/21","41128772",NULL
"Asia","Afghanistan","10/17/22","41128772",NULL
"Asia","Afghanistan","10/17/23","41128772",NULL
"Asia","Afghanistan","10/18/20","41128772",NULL
"Asia","Afghanistan","10/18/21","41128772",NULL
"Asia","Afghanistan","10/18/22","41128772",NULL
"Asia","Afghanistan","10/18/23","41128772",NULL
"Asia","Afghanistan","10/19/20","41128772",NULL
"Asia","Afghanistan","10/19/21","41128772",NULL
"Asia","Afghanistan","10/19/22","41128772",NULL
"Asia","Afghanistan","10/19/23","41128772",NULL
"Asia","Afghanistan","10/2/20","41128772",NULL
"Asia","Afghanistan","10/2/21","41128772",NULL
"Asia","Afghanistan","10/2/22","41128772",NULL
"Asia","Afghanistan","10/2/23","41128772",NULL
"Asia","Afghanistan","10/20/20","41128772",NULL
"Asia","Afghanistan","10/20/21","41128772",NULL
"Asia","Afghanistan","10/20/22","41128772",NULL
"Asia","Afghanistan","10/20/23","41128772",NULL
"Asia","Afghanistan","10/21/20","41128772",NULL
"Asia","Afghanistan","10/21/21","41128772",NULL
"Asia","Afghanistan","10/21/22","41128772",NULL
"Asia","Afghanistan","10/21/23","41128772",NULL
"Asia","Afghanistan","10/22/20","41128772",NULL
"Asia","Afghanistan","10/22/21","41128772",NULL
"Asia","Afghanistan","10/22/22","41128772",NULL
"Asia","Afghanistan","10/22/23","41128772",NULL
"Asia","Afghanistan","10/23/20","41128772",NULL
"Asia","Afghanistan","10/23/21","41128772",NULL
"Asia","Afghanistan","10/23/22","41128772",NULL
"Asia","Afghanistan","10/23/23","41128772",NULL
"Asia","Afghanistan","10/24/20","41128772",NULL
"Asia","Afghanistan","10/24/21","41128772",NULL
"Asia","Afghanistan","10/24/22","41128772",NULL
"Asia","Afghanistan","10/24/23","41128772",NULL
"Asia","Afghanistan","10/25/20","41128772",NULL
"Asia","Afghanistan","10/25/21","41128772",NULL
"Asia","Afghanistan","10/25/22","41128772",NULL
"Asia","Afghanistan","10/25/23","41128772",NULL
"Asia","Afghanistan","10/26/20","41128772",NULL
"Asia","Afghanistan","10/26/21","41128772",NULL
"Asia","Afghanistan","10/26/22","41128772",NULL
"Asia","Afghanistan","10/26/23","41128772",NULL
"Asia","Afghanistan","10/27/20","41128772",NULL
"Asia","Afghanistan","10/27/21","41128772",NULL
"Asia","Afghanistan","10/27/22","41128772",NULL
"Asia","Afghanistan","10/27/23","41128772",NULL
"Asia","Afghanistan","10/28/20","41128772",NULL
"Asia","Afghanistan","10/28/21","41128772",NULL
"Asia","Afghanistan","10/28/22","41128772",NULL
"Asia","Afghanistan","10/28/23","41128772",NULL
"Asia","Afghanistan","10/29/20","41128772",NULL
"Asia","Afghanistan","10/29/21","41128772",NULL
"Asia","Afghanistan","10/29/22","41128772",NULL
"Asia","Afghanistan","10/29/23","41128772",NULL
"Asia","Afghanistan","10/3/20","41128772",NULL
"Asia","Afghanistan","10/3/21","41128772",NULL
"Asia","Afghanistan","10/3/22","41128772",NULL
"Asia","Afghanistan","10/3/23","41128772",NULL
"Asia","Afghanistan","10/30/20","41128772",NULL
"Asia","Afghanistan","10/30/21","41128772",NULL
"Asia","Afghanistan","10/30/22","41128772",NULL
"Asia","Afghanistan","10/30/23","41128772",NULL
"Asia","Afghanistan","10/31/20","41128772",NULL
"Asia","Afghanistan","10/31/21","41128772",NULL
"Asia","Afghanistan","10/31/22","41128772",NULL
"Asia","Afghanistan","10/31/23","41128772",NULL
"Asia","Afghanistan","10/4/20","41128772",NULL
"Asia","Afghanistan","10/4/21","41128772",NULL
"Asia","Afghanistan","10/4/22","41128772",NULL
"Asia","Afghanistan","10/4/23","41128772",NULL
"Asia","Afghanistan","10/5/20","41128772",NULL
"Asia","Afghanistan","10/5/21","41128772",NULL
"Asia","Afghanistan","10/5/22","41128772",NULL
"Asia","Afghanistan","10/5/23","41128772",NULL
"Asia","Afghanistan","10/6/20","41128772",NULL
"Asia","Afghanistan","10/6/21","41128772",NULL
"Asia","Afghanistan","10/6/22","41128772",NULL
"Asia","Afghanistan","10/6/23","41128772",NULL
"Asia","Afghanistan","10/7/20","41128772",NULL
"Asia","Afghanistan","10/7/21","41128772",NULL
"Asia","Afghanistan","10/7/22","41128772",NULL
"Asia","Afghanistan","10/7/23","41128772",NULL
"Asia","Afghanistan","10/8/20","41128772",NULL
