"continent","location","date","population","new_vaccinations","rollingpeoplevaccinated","percentage_vaccinated"
"Africa","Cote d'Ivoire","2021-03-10","28160548","4439","580630","2.061856182628264"
"Africa","Cote d'Ivoire","2021-05-29","28160548","4497","946853","3.362338687443156"
"Africa","Cote d'Ivoire","2021-08-26","28160548","4526","1609338","5.714867480561813"
"Africa","Cote d'Ivoire","2021-08-09","28160548","4600","1772682","6.294913010925781"
"Africa","Cote d'Ivoire","2021-04-16","28160548","4634","625360","2.2206954211260377"
"Africa","Cote d'Ivoire","2021-05-24","28160548","4915","929519","3.3007844875746026"
"Africa","Cote d'Ivoire","2021-08-21","28160548","4930","1580504","5.612476007214064"
"Africa","Cote d'Ivoire","2021-08-08","28160548","5037","1768082","6.278578101534103"
"Africa","Cote d'Ivoire","2021-08-22","28160548","5095","1585599","5.630568694898977"
"Africa","Cote d'Ivoire","2021-05-25","28160548","5173","934692","3.3191541585057225"
"Africa","Cote d'Ivoire","2021-05-03","28160548","5243","952096","3.3809569330824103"
"Africa","Cote d'Ivoire","2021-07-14","28160548","5333","1250980","4.442314119739431"
"Africa","Cote d'Ivoire","2021-08-25","28160548","5415","1604812","5.698795350147305"
"Africa","Cote d'Ivoire","2021-06-17","28160548","5420","1122474","3.98598067054661"
"Africa","Cote d'Ivoire","2021-04-10","28160548","5673","614537","2.1822622201812263"
"Africa","Cote d'Ivoire","2021-06-13","28160548","5897","1096800","3.8948105697374924"
"Africa","Cote d'Ivoire","2021-05-14","28160548","6188","735675","2.6124314058092906"
"Africa","Cote d'Ivoire","2021-05-17","28160548","6256","774227","2.7493321507805883"
"Africa","Cote d'Ivoire","2021-04-27","28160548","6295","651647","2.3140423261649596"
"Africa","Cote d'Ivoire","2021-09-13","28160548","6427","1795679","6.376576904682395"
"Africa","Cote d'Ivoire","2021-04-28","28160548","6476","658123","2.337039037734635"
"Africa","Cote d'Ivoire","2021-07-04","28160548","6601","1410137","5.007491331489714"
"Africa","Cote d'Ivoire","2021-07-24","28160548","6650","1309692","4.650804380653388"
"Africa","Cote d'Ivoire","2021-07-20","28160548","7228","1302428","4.6250094280835725"
"Africa","Cote d'Ivoire","2021-06-21","28160548","7459","1149461","4.081813322666875"
"Africa","Cote d'Ivoire","2021-05-28","28160548","7664","942356","3.346369537979162"
"Africa","Cote d'Ivoire","2021-06-16","28160548","7726","1117054","3.9667338860025025"
"Africa","Cote d'Ivoire","2021-06-30","28160548","7745","1180279","4.191250113456599"
"Africa","Cote d'Ivoire","2021-04-09","28160548","7752","686873","2.4391322214326228"
"Africa","Cote d'Ivoire","2021-04-29","28160548","7836","665959","2.3648652007766326"
"Africa","Cote d'Ivoire","2021-07-17","28160548","8104","1276335","4.532351430092909"
"Africa","Cote d'Ivoire","2021-07-15","28160548","8125","1259105","4.471166541219297"
"Africa","Cote d'Ivoire","2021-07-27","28160548","8326","1328046","4.715980669126183"
"Africa","Cote d'Ivoire","2021-07-25","28160548","8733","1318425","4.681815851026762"
"Africa","Cote d'Ivoire","2021-04-30","28160548","8767","677447","2.405659861448719"
"Africa","Cote d'Ivoire","2021-08-28","28160548","8793","1622294","5.7608751079702"
"Africa","Cote d'Ivoire","2021-06-06","28160548","8857","1189136","4.222701916170097"
