"location","date","population","total_cases","percentpopulationinfected"
"North America","10/25/21","600323657","54695990","9.111083556715474"
"North America","10/26/21","600323657","54695990","9.111083556715474"
"North America","10/27/21","600323657","54695990","9.111083556715474"
"North America","10/28/21","600323657","54695990","9.111083556715474"
"North America","10/29/21","600323657","54695990","9.111083556715474"
"North America","10/30/21","600323657","54695990","9.111083556715474"
"North America","10/31/21","600323657","55299811","9.211666132957342"
"North America","11/1/21","600323657","55299811","9.211666132957342"
"North America","11/2/21","600323657","55299811","9.211666132957342"
"North America","11/3/21","600323657","55299811","9.211666132957342"
"North America","11/4/21","600323657","55299811","9.211666132957342"
"North America","11/5/21","600323657","55299811","9.211666132957342"
"North America","11/6/21","600323657","55299811","9.211666132957342"
"North America","11/7/21","600323657","55875575","9.307575063629384"
"North America","11/8/21","600323657","55875575","9.307575063629384"
"North America","11/9/21","600323657","55875575","9.307575063629384"
"North America","11/10/21","600323657","55875575","9.307575063629384"
"North America","11/11/21","600323657","55875575","9.307575063629384"
"North America","11/12/21","600323657","55875575","9.307575063629384"
"North America","11/13/21","600323657","55875575","9.307575063629384"
"North America","11/14/21","600323657","56500063","9.41160028281211"
"North America","11/15/21","600323657","56500063","9.41160028281211"
"North America","11/16/21","600323657","56500063","9.41160028281211"
"North America","11/17/21","600323657","56500063","9.41160028281211"
"North America","11/18/21","600323657","56500063","9.41160028281211"
"North America","11/19/21","600323657","56500063","9.41160028281211"
"North America","11/20/21","600323657","56500063","9.41160028281211"
"North America","11/21/21","600323657","57240487","9.534937751087162"
"North America","11/22/21","600323657","57240487","9.534937751087162"
"North America","11/23/21","600323657","57240487","9.534937751087162"
"North America","11/24/21","600323657","57240487","9.534937751087162"
"North America","11/25/21","600323657","57240487","9.534937751087162"
"North America","11/26/21","600323657","57240487","9.534937751087162"
"North America","11/27/21","600323657","57240487","9.534937751087162"
"North America","11/28/21","600323657","57895745","9.64408853872637"
"North America","11/29/21","600323657","57895745","9.64408853872637"
"North America","11/30/21","600323657","57895745","9.64408853872637"
"North America","12/1/21","600323657","57895745","9.64408853872637"
"North America","12/2/21","600323657","57895745","9.64408853872637"
"North America","12/3/21","600323657","57895745","9.64408853872637"
"North America","12/4/21","600323657","57895745","9.64408853872637"
"North America","12/5/21","600323657","58704772","9.778853675926351"
"North America","12/6/21","600323657","58704772","9.778853675926351"
"North America","12/7/21","600323657","58704772","9.778853675926351"
"North America","12/8/21","600323657","58704772","9.778853675926351"
"North America","12/9/21","600323657","58704772","9.778853675926351"
"North America","12/10/21","600323657","58704772","9.778853675926351"
"North America","12/11/21","600323657","58704772","9.778853675926351"
"North America","12/12/21","600323657","59600873","9.928123322316448"
"North America","12/13/21","600323657","59600873","9.928123322316448"
"North America","12/14/21","600323657","59600873","9.928123322316448"
"North America","12/15/21","600323657","59600873","9.928123322316448"
"North America","12/16/21","600323657","59600873","9.928123322316448"
"North America","12/17/21","600323657","59600873","9.928123322316448"
"North America","12/18/21","600323657","59600873","9.928123322316448"
"North America","12/19/21","600323657","60585429","10.092127520471845"
"North America","12/20/21","600323657","60585429","10.092127520471845"
"North America","12/21/21","600323657","60585429","10.092127520471845"
"North America","12/22/21","600323657","60585429","10.092127520471845"
"North America","12/23/21","600323657","60585429","10.092127520471845"
"North America","12/24/21","600323657","60585429","10.092127520471845"
"North America","12/25/21","600323657","60585429","10.092127520471845"
"North America","12/26/21","600323657","62181282","10.357959623103776"
"North America","12/27/21","600323657","62181282","10.357959623103776"
"North America","12/28/21","600323657","62181282","10.357959623103776"
"North America","12/29/21","600323657","62181282","10.357959623103776"
"North America","12/30/21","600323657","62181282","10.357959623103776"
"North America","12/31/21","600323657","62181282","10.357959623103776"
"North America","1/1/22","600323657","62181282","10.357959623103776"
"North America","1/2/22","600323657","65298029","10.877137397235705"
"North America","1/3/22","600323657","65298029","10.877137397235705"
"North America","1/4/22","600323657","65298029","10.877137397235705"
"North America","1/5/22","600323657","65298029","10.877137397235705"
"North America","1/6/22","600323657","65298029","10.877137397235705"
"North America","1/7/22","600323657","65298029","10.877137397235705"
"North America","1/8/22","600323657","65298029","10.877137397235705"
"North America","1/9/22","600323657","70668790","11.77178163411941"
"North America","1/10/22","600323657","70668790","11.77178163411941"
"North America","1/11/22","600323657","70668790","11.77178163411941"
"North America","1/12/22","600323657","70668790","11.77178163411941"
"North America","1/13/22","600323657","70668790","11.77178163411941"
"North America","1/14/22","600323657","70668790","11.77178163411941"
"North America","1/15/22","600323657","70668790","11.77178163411941"
"North America","1/16/22","600323657","77250331","12.868113741517936"
"North America","1/17/22","600323657","77250331","12.868113741517936"
"North America","1/18/22","600323657","77250331","12.868113741517936"
"North America","1/19/22","600323657","77250331","12.868113741517936"
"North America","1/20/22","600323657","77250331","12.868113741517936"
"North America","1/21/22","600323657","77250331","12.868113741517936"
"North America","1/22/22","600323657","77250331","12.868113741517936"
"North America","1/23/22","600323657","83162995","13.853026451696204"
"North America","1/24/22","600323657","83162995","13.853026451696204"
"North America","1/25/22","600323657","83162995","13.853026451696204"
"North America","1/26/22","600323657","83162995","13.853026451696204"
"North America","1/27/22","600323657","83162995","13.853026451696204"
"North America","1/28/22","600323657","83162995","13.853026451696204"
"North America","1/29/22","600323657","83162995","13.853026451696204"
"North America","1/30/22","600323657","87590562","14.590556440456917"
"North America","1/31/22","600323657","87590562","14.590556440456917"
"North America","2/1/22","600323657","87590562","14.590556440456917"
"North America","2/2/22","600323657","87590562","14.590556440456917"
"North America","2/3/22","600323657","87590562","14.590556440456917"
"North America","2/4/22","600323657","87590562","14.590556440456917"
"North America","2/5/22","600323657","87590562","14.590556440456917"
"North America","2/6/22","600323657","90211610","15.027162256242718"
"North America","2/7/22","600323657","90211610","15.027162256242718"
"North America","2/8/22","600323657","90211610","15.027162256242718"
"North America","2/9/22","600323657","90211610","15.027162256242718"
"North America","2/10/22","600323657","90211610","15.027162256242718"
"North America","2/11/22","600323657","90211610","15.027162256242718"
"North America","2/12/22","600323657","90211610","15.027162256242718"
"North America","2/13/22","600323657","91725774","15.279386865808622"
"North America","2/14/22","600323657","91725774","15.279386865808622"
"North America","2/15/22","600323657","91725774","15.279386865808622"
"North America","2/16/22","600323657","91725774","15.279386865808622"
"North America","2/17/22","600323657","91725774","15.279386865808622"
"North America","2/18/22","600323657","91725774","15.279386865808622"
"North America","2/19/22","600323657","91725774","15.279386865808622"
"North America","2/20/22","600323657","92656028","15.434345610004838"
"North America","2/21/22","600323657","92656028","15.434345610004838"
"North America","2/22/22","600323657","92656028","15.434345610004838"
"North America","2/23/22","600323657","92656028","15.434345610004838"
"North America","2/24/22","600323657","92656028","15.434345610004838"
"North America","2/25/22","600323657","92656028","15.434345610004838"
"North America","2/26/22","600323657","92656028","15.434345610004838"
"North America","2/27/22","600323657","93265765","15.535913654657124"
"North America","2/28/22","600323657","93265765","15.535913654657124"
"North America","3/1/22","600323657","93265765","15.535913654657124"
"North America","3/2/22","600323657","93265765","15.535913654657124"
"North America","3/3/22","600323657","93265765","15.535913654657124"
"North America","3/4/22","600323657","93265765","15.535913654657124"
"North America","3/5/22","600323657","93265765","15.535913654657124"
"North America","3/6/22","600323657","93719172","15.611440746537165"
"North America","3/7/22","600323657","93719172","15.611440746537165"
"North America","3/8/22","600323657","93719172","15.611440746537165"
"North America","3/9/22","600323657","93719172","15.611440746537165"
"North America","3/10/22","600323657","93719172","15.611440746537165"
"North America","3/11/22","600323657","93719172","15.611440746537165"
"North America","3/12/22","600323657","93719172","15.611440746537165"
"North America","3/13/22","600323657","94060021","15.668218285790461"
"North America","3/14/22","600323657","94060021","15.668218285790461"
"North America","3/15/22","600323657","94060021","15.668218285790461"
"North America","3/16/22","600323657","94060021","15.668218285790461"
"North America","3/17/22","600323657","94060021","15.668218285790461"
"North America","3/18/22","600323657","94060021","15.668218285790461"
"North America","3/19/22","600323657","94060021","15.668218285790461"
"North America","3/20/22","600323657","94364859","15.718997227523884"
"North America","3/21/22","600323657","94364859","15.718997227523884"
"North America","3/22/22","600323657","94364859","15.718997227523884"
"North America","3/23/22","600323657","94364859","15.718997227523884"
"North America","3/24/22","600323657","94364859","15.718997227523884"
"North America","3/25/22","600323657","94364859","15.718997227523884"
"North America","3/26/22","600323657","94364859","15.718997227523884"
"North America","3/27/22","600323657","94648529","15.766250071334436"
"North America","3/28/22","600323657","94648529","15.766250071334436"
"North America","3/29/22","600323657","94648529","15.766250071334436"
"North America","3/30/22","600323657","94648529","15.766250071334436"
"North America","3/31/22","600323657","94648529","15.766250071334436"
"North America","4/1/22","600323657","94648529","15.766250071334436"
"North America","4/2/22","600323657","94648529","15.766250071334436"
"North America","4/3/22","600323657","94940221","15.814839194318143"
"North America","4/4/22","600323657","94940221","15.814839194318143"
"North America","4/5/22","600323657","94940221","15.814839194318143"
"North America","4/6/22","600323657","94940221","15.814839194318143"
"North America","4/7/22","600323657","94940221","15.814839194318143"
"North America","4/8/22","600323657","94940221","15.814839194318143"
"North America","4/9/22","600323657","94940221","15.814839194318143"
"North America","4/10/22","600323657","95248602","15.86620831769087"
"North America","4/11/22","600323657","95248602","15.86620831769087"
"North America","4/12/22","600323657","95248602","15.86620831769087"
"North America","4/13/22","600323657","95248602","15.86620831769087"
"North America","4/14/22","600323657","95248602","15.86620831769087"
"North America","4/15/22","600323657","95248602","15.86620831769087"
"North America","4/16/22","600323657","95248602","15.86620831769087"
"North America","4/17/22","600323657","95600046","15.924750738250518"
"North America","4/18/22","600323657","95600046","15.924750738250518"
"North America","4/19/22","600323657","95600046","15.924750738250518"
"North America","4/20/22","600323657","95600046","15.924750738250518"
"North America","4/21/22","600323657","95600046","15.924750738250518"
"North America","4/22/22","600323657","95600046","15.924750738250518"
"North America","4/23/22","600323657","95600046","15.924750738250518"
"North America","4/24/22","600323657","96014199","15.99373902401451"
"North America","4/25/22","600323657","96014199","15.99373902401451"
"North America","4/26/22","600323657","96014199","15.99373902401451"
"North America","4/27/22","600323657","96014199","15.99373902401451"
"North America","4/28/22","600323657","96014199","15.99373902401451"
"North America","4/29/22","600323657","96014199","15.99373902401451"
"North America","4/30/22","600323657","96014199","15.99373902401451"
"North America","5/1/22","600323657","96511239","16.076534361863402"
"North America","5/2/22","600323657","96511239","16.076534361863402"
"North America","5/3/22","600323657","96511239","16.076534361863402"
"North America","5/4/22","600323657","96511239","16.076534361863402"
"North America","5/5/22","600323657","96511239","16.076534361863402"
"North America","5/6/22","600323657","96511239","16.076534361863402"
"North America","5/7/22","600323657","96511239","16.076534361863402"
"North America","5/8/22","600323657","97090970","16.173104102742364"
"North America","5/9/22","600323657","97090970","16.173104102742364"
"North America","5/10/22","600323657","97090970","16.173104102742364"
"North America","5/11/22","600323657","97090970","16.173104102742364"
"North America","5/12/22","600323657","97090970","16.173104102742364"
"North America","5/13/22","600323657","97090970","16.173104102742364"
"North America","5/14/22","600323657","97090970","16.173104102742364"
"North America","5/15/22","600323657","97821834","16.294849096709843"
"North America","5/16/22","600323657","97821834","16.294849096709843"
"North America","5/17/22","600323657","97821834","16.294849096709843"
"North America","5/18/22","600323657","97821834","16.294849096709843"
"North America","5/19/22","600323657","97821834","16.294849096709843"
